word,pronunciation,gloss
ABA,a-ba,dad
BYJ,,to secure (historically uncertain)
ABB,,to blossom (springtime)
ABL,a-val,but
GDL,,to grow (thumb = “big finger”)
GZZ,,to cut
AGZ,,walnut
MLX,,king
AGS,a-gas,pear
ADM,,red
AZN,,ear
BVS,,bus
AXL,,to eat
APN,,wheel
AJR,[r],[r]lateness|being behind|posteriority
AIX,eikh,how
AIN,ein,there isn't/aren't
AWH,i-sha,wife
ANJ,,to sigh or groan (collective pronoun)
ANI,a-ni,(i)
ASR,,to forbid/to bind
IWR,,straight/honest
CBE,,to point
ARJ,,to prepare a meal
BQR,,morning/dawn
ERB,[r],evening|(w)est
CHR,,a light (window)
ATH,a-tah,you (m.)
ATM,a-tem,you (m.p.)
ATN,a-ten,you (f.p.)
BQW,,request/ask
BGD,,garment/clothing
CLJ,,succeed
JVC,khuts,outside/exterior
BYN,be-ten,stomach/abdomen/tummy
IJD,[rt]/ya-khad,[rt]1/together
BIC,,egg?
BIT,ba-yit,house
XNS,[r]/[v]kanás,[r]gathering/[v]to cover|hide
RQJ,,perfume
SPR,[n]se-fer/[r],book/[r]telling|counting|haircut
BLI,bli,without
DVD,dod,uncle
BNH,,to build
BNQ,bank,bank
SDR,seder,order
BEL,ba-al,husband
PNH,pānā,to face/turn/address/speak to
BCL,ba-tsal,onion
BQR,ba-kar,beef
QRB,karáv,to approach
BRA,,related to creation/health/strength/fatness/clearing woods/cutting trees
BWR,ba-sar,meat
GVQ,juk,cockroach
GNB,,related to theft
GBH,,related to height
GVP,guf,body
GZR,gezer,carrot
GLD,,ice/frost
GRB,gerev,sock
GWM,ge-shem,rain
DBW,dvash,honey
DAR,do-ar,mail/post office
DVR,,house
DLT,de-let,door
DQH,da-ka,minute
DRM,da-rom,(s)outh
DRX,,stepping/guiding/paths
DTI,da-ti,religious
HBA,ha-ba,next
HVA,hu/hevé,he/to be|exist|fall|befall
HDV,ho-du,turkey (animal) -- literally (i)ndia fowl
HVH,ho-ve,present (tense)
HRH,[vb]hará/[adj]haré,[vb]to conceive|become pregnant|imagine|think up/[adj] pregnant
IRH,[rt]/[vb]yará,[rt]related to guiding or casting out/[vb]flow as water|lay or throw|establish
HIA,hi,she
IVM,[rt]/[n]yom,[rt]related to days/[n]day|daylight
PSQ,[vb]pasák,[vb]cease|desist|stop||decide|rule
RBH,[vb]ravá,[vb]increase|multiply
EML,[vb]amál,[vb]work|labour
JLI,[n]chóli/[n]ḥălî,[n]sickness/[n]jewelry
JLH,[n]khalá/[rt],[n]challah|cake/[rt]disease
ZVL,zol,cheap
ZIT,za-yit,olive
ZMN,zman,time
