word,pronunciation,gloss
ABA,a-ba,dad
ABYIJ,a-va-ti-akh,watermelon
ABIB,a-viv,spring
ABL,a-val,but
AGVDL,a-gu-dal,thumb
AGVZ MLX,e-goz me-lekh,walnut
AGS,a-gas,pear
ADVM,a-dom,red
AV,o,or
AVZN,o-zen,ear
AVYVBVS,o-to-bus,bus
AVXL,o-khel,food
AVLI,u-lai,maybe
AVNIBRSIYH,u-ni-ver-si-ta,university
AVPNIIM,o-fa-na-yim,bicycle
AVRZ,o-rez,rice
AZ,az,so/then
AJ,akh,brother
AJVT,a-khot,sister
AJRVN,a-kha-ron,last/final
AIZH,ei-ze,which
AIYI,i-ti,slow
AIX,eikh,how
AIMA,i-ma,mom
AIN,ein,there isn't/aren't
AIPH,ei-fo,where
AIWH,i-sha,wife
AM,im,if
ANGLIT,an-glit,(e)nglish
ANJNV,a-nakh-nu,we
ANI,a-ni,(i)
ANNS,a-na-nas,pineapple
ASVR,a-sur,forbidden
AP,af,nose
APRSQ,a-far-sek,peach
APWR,ef-shar,(it is) possible
ACBE,ets-ba,finger/toe
ARVJT BVQR,a-ru-khat bo-ker,breakfast
ARVJT ERB,a-ru-khat e-rev,dinner
ARVJT CHRIIM,a-ru-khat tso-ho-ra-yim,lunch
ARNQ,ar-nak,wallet
AWXVLIT,esh-ko-lit,grapefruit
AT,at,you (f.)
ATH,a-tah,you (m.)
ATM,a-tem,you (m.p.)
ATMVL,at-mol,yesterday
ATN,a-ten,you (f.p.)
B,be/ba,in/at
BBQWH,be-va-ka-sha,please
BGDIM,be-ga-dim,clothes
BHCLJH,be-hats-la-kha,good luck
BVQR,bo-ker,morning
BJVC,ba-khuts,outside
BYYH,ba-ta-ta,sweet potato
BTN,be-ten,stomach/abdomen/tummy
BIJD,be-ya-khad,together
BINVNI,bei-no-ni,medium
BICH,bei-tsa,egg
BIRH,bi-ra,beer
BIT,ba-yit,house
BIT JVLIM,beit kho-lim,hospital
BIT XNST,beit kne-set,synagogue
BIT MRQJT,beit mir-ka-khat,pharmacy
BIT SPR,beit se-fer,school
BLI,bli,without
BN,ben,son
BN DVD,ben dod,cousin
BNZIN,ben-zin,gasoline
BNIIN,bin-yan,building
BNNH,ba-na-na,banana
BNQ,bank,bank
BSDR,be-se-der,okay
BEL,ba-al,husband
BPNIM,bif-nim,inside
BCL,ba-tsal,onion
BQBVQ,bak-buk,bottle
BQR,ba-kar,beef
BQRVB,be-ka-rov,soon
BRIA,ba-ri,healthy
BWR,ba-sar,meat
BT,bat,daughter
GVQ,juk,cockroach
GB,gav,back
GBVH,ga-vo-ha,high
GBINH,gvi-na,cheese
GDVL,ga-dol,big
GVBH,go-va,height
GVP,guf,body
GZR,gezer,carrot
GLIDH,gli-da,ice cream
GM,gam,also
GRBIIM,gar-ba-yim,socks
GWM,ge-shem,rain
DBW,dvash,honey
DG,dag,fish
DVAR,do-ar,mail/post office
DVBDBN,duv-de-van,cherry
DVD,dod,uncle
DVDH,do-da,aunt
DIRH,di-ra,apartment
DLT,de-let,door
DQH,da-ka,minute
DRVM,da-rom,(s)outh
DRXVN,dar-kon,passport
DTI,da-ti,religious
H,ha,the
HBA,ha-ba,next
HVA,hu,he
HVDV,ho-du,turkey (animal)
HVVH,ho-ve,present (tense)
HVRIM,ho-rim,parents
HIA,hi,she
HIVM,ha-yom,today
HM,hem,they (m.)
HN,hen,they (f.)
HPSQH,haf-sa-ka,break
HRBH,har-be,a lot
HTEMLVT,hit-am-lut,exercise
V,ve,and
ZH,ze,this
ZVL,zol,cheap
ZIT,za-yit,olive
ZMN,zman,time
ZQN,za-ken,old (person)
JBR,kha-ver,friend
JBRH,khev-ra,company
JG,khag,holiday
JGVRH,kha-go-ra,belt
JDR,khe-der,room
JDW,kha-dash,new
JDWVT,kha-da-shot,news
JVDW,kho-desh,month
JVLH,kho-le,sick
JVLCH,khul-tsa,shirt
JVM,khum,brown
JVMVS,khum-mus,hummus
JVP,khof,beach
JVPWH,khuf-sha,vacation
JVRP,kho-ref,winter
JZH,kha-ze,chest
JZQ,kha-zak,strong
JLB,kha-lav,milk
JLH,kha-la,challah
JLVN,kha-lon,window
JLVNI,khi-lo-ni,secular
JM,kham,hot
JMAH,khem-a,butter
JMVCIM,kha-mu-tsim,pickles
JNVT,kha-nut,store
JSH,kha-sa,lettuce
JCAIT,kha-tsa-it,skirt
JCI,khe-tsi,half (of something)
JRIP,kha-rif,spicy (hot)
JWBVN,khesh-bon,bill/check
JWVB,kha-shuv,important
JTVL,kha-tul,cat
YVB,tov,good
YIVL,ti-yul,trip/hike
YLH,ta-le,lamb
YLVVIZIH,te-le-viz-ya,tv
YLPVN,te-le-fon,telephone
YEIM,ta-im,tasty
IALLH,ya-la,get going
ID,yad,arm
IHVDI,ye-hu-di,(j)ewish
IVGVRY,yo-gurt,yogurt
IVM,yom,day
IVM JMIWI,yom kha-mi-shi,(t)hursday
IVM RAWVN,yom ri-shon,(s)unday
IVM RBIEI,yom re-vi-i,(w)ednesday
IVM WLIWI,yom shli-shi,(t)uesday
IVM WNI,yom she-ni,(m)onday
IVM WIWI,yom shi-shi,(f)riday
IJID,ya-khid,singular/single (not married)
IIN,ya-yin,wine
ILD,ye-led,boy
ILDH,yal-da,girl
IM,yam,sea
IMINH,ya-mi-na,right (direction)
IPH,ya-fe,beautiful
ICIAH,ye-tsi-a,exit
IQR,ya-kar,expensive
IRVQ,ya-rok,green
IRJ,ya-re-akh,moon
IRQVT,ye-ra-kot,vegetables
IW,yesh,there is/are
IWN,ya-shan,old (thing)
IWR,ya-shar,straight ahead/honest
IWRAL,is-ra-el,(i)srael
ITVW,ya-tush,mosquito
X,ke,as
XAB,ke-ev,pain/ache
XBIW,kvish,road/route
XDVR,ka-dur,ball
XDVRGL,ka-du-re-gel,soccer
